feature,importance
target_up_3d,0.11163607
fwd_ret_3d,0.04758912
is_pollination_season,0.035625488
month_7,0.024381902
growing_stress,0.014155467
production_mbu,0.013676795
mm_net_position,0.012595271
dry_days_30d,0.01170361
pct_very_poor,0.010692173
condition_index_change_4w,0.0105392365
bb_upper,0.00983403
yield_estimate_bu_per_acre,0.00974534
pct_silking,0.0096499305
prod_net,0.0094583295
pct_mature,0.009008836
close_vs_ma200,0.00877098
ma_20,0.008725764
exports_mbu,0.008574463
Nonreportable_Positions_Long_(All),0.008415074
ending_stocks_mbu,0.008322394
bb_lower,0.008004026
pct_fair,0.0078405645
pct_excellent,0.0078076194
Swap_Dealer_Long_(All),0.007626607
prod_short_pct,0.0074433167
mm_net_lag7,0.00736386
condition_index,0.007279442
prod_net_zscore,0.007239207
pct_poor_very_poor,0.007171493
mm_long_pct,0.006963647
month,0.006921339
vol_zscore_60d,0.006905845
stocks_to_exports_ratio,0.0067558493
pct_dough,0.006753517
condition_index_lag1,0.006571515
fwd_ret_1d,0.006520232
week_of_year,0.006489974
mm_net_index,0.006375741
swap_net,0.006196777
ret_60d_trailing,0.006154948
close_lag3,0.006150283
condition_index_lag7,0.006129668
pct_poor,0.0061275107
Open_Interest_(All),0.0061157346
month_11,0.0060896385
gdd_30d,0.006036611
Money_Manager_Long_(All),0.0060119377
ma_50,0.0059934086
pct_good,0.005916281
nonrep_net,0.005879439
mm_net_zscore,0.005878994
Swap_Dealer_Short_(All),0.0057903896
mm_net_lag14,0.0057869228
close_lag5,0.0057459446
pct_dented,0.0057323286
other_net,0.005681871
ma_200,0.00563058
pct_good_excellent,0.0056101
Producer_Merchant_Processor_User_Long_(All),0.0055944356
close_lag1,0.005568429
Money_Manager_Short_(All),0.0055419677
mm_calls_oi,0.005475071
rsi_28,0.005336713
month_3,0.0052769096
day_of_year,0.005264933
mm_puts_oi,0.005260488
month_5,0.00525741
gdd_7d,0.005196904
volume_ratio_60d,0.00516327
stocks_change_3m,0.0051413714
speculator_net_combined,0.0050284695
total_oi,0.005024937
close_lag10,0.005013819
close_lag20,0.0050017755
roc_20d,0.004971999
Other_Reportables_Long_(All),0.0049465736
mm_net_change_4w,0.0049260827
pct_harvested,0.004895786
is_harvest_season,0.004890156
condition_index_lag14,0.0048479466
yield_change_3m,0.0048337495
condition_index_change_1w,0.0048170616
put_call_ratio,0.0047227917
prod_long_pct,0.004720095
mm_net,0.0047076973
vol_60d,0.0046714665
gdd_cumulative,0.004595418
gdd_14d,0.0045756367
pct_emerged,0.004529639
put_call_ratio_52w_pct,0.004466497
Other_Reportables_Short_(All),0.004463578
volume_ratio_20d,0.0044524726
Nonreportable_Positions_Short_(All),0.0044475175
bb_width,0.0044273757
dealer_net_position,0.00441145
sentiment_extreme,0.0043477756
month_6,0.004327186
close_vs_ma50,0.004311894
vol_zscore_20d,0.004258875
ret_20d_trailing,0.004256604
month_9,0.0041463654
month_2,0.0040794206
mm_short_pct,0.004034609
volume_60d_avg,0.0040131323
put_call_ratio_52w_pct_lag14,0.004004456
ret_20d,0.0039531486
volume_zscore_20d,0.0039447034
yield_change_1m,0.0039378842
vol_20d_lag10,0.0037974932
pct_planted,0.003790377
mm_net_change_1w,0.0037582885
vol_20d_lag5,0.0037002456
prcp_30d_lag7,0.003662523
prcp_30d_lag1,0.0036058223
close_vs_ma20,0.0035794736
stocks_change_1m,0.0035139802
close,0.0035047715
vol_10d,0.003453386
dry_days_14d,0.0034525734
rsi_14,0.0034296212
put_call_ratio_52w_pct_lag7,0.0033654335
gdd,0.0032676233
bb_position,0.0032665462
dealer_mm_net_diff,0.003246543
vol_20d_lag1,0.0031699191
total_puts_oi,0.0030890382
Producer_Merchant_Processor_User_Short_(All),0.0030802668
volume_20d_avg,0.0030358022
low,0.0030135026
total_calls_oi,0.0029702538
vol_20d,0.0029596416
dry_days_7d,0.0029172665
temp_range_7d_avg,0.0028666686
high,0.0028067091
prcp_30d,0.0027224417
roc_5d,0.0027170277
ret_5d,0.0026935835
is_planting_season,0.0026916016
month_4,0.0026520877
swap_net_position,0.0025668573
ret_10d_trailing,0.0024235507
ret_3d_trailing,0.0022621506
tavg,0.0022349653
volume,0.0021451607
ret_5d_trailing,0.0020452258
prcp_7d,0.0020449492
production_change_1m,0.0020447334
dealer_calls_oi,0.002005881
month_10,0.0020032364
vol_5d,0.001995175
temp_range,0.0016682138
tmin,0.0016485204
dealer_puts_oi,0.0015679125
open,0.0012149656
adj_close,0.0011905616
tmax,0.0010417276
ret_1d,0.0009988094
prcp,0.0007062433
dry_day,0.00037259463
target_up_1d,0.00016069548
heat_stress,0.0
month_1,0.0
quarter,0.0
month_12,0.0
month_8,0.0
drought_indicator,0.0
extreme_heat,0.0
heat_stress_lag1,0.0
heat_stress_lag7,0.0
