feature,importance
target_up_3d,0.12001417
fwd_ret_3d,0.052445345
is_flowering_season,0.028600587
gdd_14d,0.013915998
close_lag10,0.012378751
month_8,0.011212742
pct_blooming,0.011016867
condition_index,0.010587243
pct_very_poor,0.010521738
pct_poor,0.010409932
bb_lower,0.010277049
is_planting_season,0.010010466
ma_20,0.009560075
ma_200,0.00941871
dealer_net_position,0.00938455
vol_20d_lag1,0.009353753
vol_20d,0.0092680035
pct_dropping_leaves,0.009247521
month_6,0.008875179
condition_index_change_4w,0.008060939
volume_ratio_60d,0.008051542
ending_stocks_mbu,0.007920582
close_vs_ma200,0.0079180235
dealer_puts_oi,0.007913686
gdd_30d,0.007777588
vol_60d,0.0077490862
vol_20d_lag5,0.0076455968
Swap_Dealer_Long_(All),0.0075636916
condition_index_lag1,0.007463424
pct_setting_pods,0.007455344
pct_planted,0.007428563
swap_net,0.007277881
condition_index_lag14,0.007224336
pct_good_excellent,0.0070956484
total_oi,0.00709541
stocks_change_3m,0.007077734
growing_stress,0.006970602
month_7,0.0068798643
close_vs_ma50,0.0068786256
bb_width,0.0065273014
pct_fair,0.0064926166
mm_short_pct,0.0064866636
prod_long_pct,0.0064649708
month_9,0.006409678
pct_harvested,0.006399768
ma_50,0.006360258
pct_poor_very_poor,0.0063373125
rsi_28,0.006199312
condition_index_change_1w,0.006118557
exports_mbu,0.0060653663
mm_net_lag14,0.0060565015
yield_estimate_bu_per_acre,0.0060422537
condition_index_lag7,0.0060268724
vol_zscore_60d,0.0060000634
month,0.0059497883
ret_20d_trailing,0.00573062
pct_good,0.0057248995
vol_20d_lag10,0.0057000197
bb_upper,0.0056712814
volume_ratio_20d,0.0055642794
production_mbu,0.005548794
mm_net_zscore,0.005486405
prod_net,0.005472026
yield_change_3m,0.005466868
is_harvest_season,0.005403678
stocks_change_1m,0.0053728228
vol_10d,0.005370577
fwd_ret_1d,0.005362548
close_lag5,0.00535795
close_lag1,0.005256056
close_lag20,0.0051606647
vol_zscore_20d,0.0050567393
pct_emerged,0.00503173
Other_Reportables_Long_(All),0.005011836
gdd_7d,0.0049749864
stocks_to_exports_ratio,0.0049073016
ret_60d_trailing,0.0048971684
Nonreportable_Positions_Short_(All),0.0048497845
ret_20d,0.0048288857
month_3,0.0048196022
speculator_net_combined,0.0048189433
prcp_30d_lag7,0.0047165784
volume_60d_avg,0.004637662
day_of_year,0.004611179
prcp_30d_lag1,0.0046109133
month_2,0.004598648
pct_excellent,0.004530988
mm_net_change_4w,0.004513539
roc_20d,0.00450775
week_of_year,0.0044507477
Swap_Dealer_Short_(All),0.004411705
Producer_Merchant_Processor_User_Short_(All),0.0043533165
yield_change_1m,0.0043419325
mm_puts_oi,0.0042210612
Producer_Merchant_Processor_User_Long_(All),0.0042133224
prod_short_pct,0.004202485
mm_net_index,0.004200714
Money_Manager_Short_(All),0.004124833
close_vs_ma20,0.004117001
swap_net_position,0.004104418
month_11,0.004098917
dealer_calls_oi,0.0040854914
mm_net_lag7,0.0040840735
put_call_ratio,0.004077798
close_lag3,0.004066465
roc_5d,0.003986273
dry_days_14d,0.003952785
put_call_ratio_52w_pct,0.0039370116
volume_20d_avg,0.003907691
mm_net,0.003903983
mm_net_position,0.003895569
other_net,0.0037709877
production_change_1m,0.0037454031
nonrep_net,0.0037144609
prod_net_zscore,0.0036565892
put_call_ratio_52w_pct_lag14,0.0036362687
mm_calls_oi,0.003623164
dealer_mm_net_diff,0.003615347
mm_net_change_1w,0.0035968067
Other_Reportables_Short_(All),0.003527969
Money_Manager_Long_(All),0.0034720039
bb_position,0.0034693861
mm_long_pct,0.0033969972
put_call_ratio_52w_pct_lag7,0.003351223
dry_days_30d,0.0033275376
gdd_cumulative,0.0032948963
total_calls_oi,0.0032656265
Nonreportable_Positions_Long_(All),0.003241701
ret_10d_trailing,0.0031588678
temp_range_7d_avg,0.0031052988
sentiment_extreme,0.0030892899
ret_5d_trailing,0.0030109999
prcp_30d,0.0029616712
rsi_14,0.0028737774
Open_Interest_(All),0.0028496168
close,0.0026915711
prcp_7d,0.0024729487
vol_5d,0.002436749
month_4,0.002319635
ret_3d_trailing,0.002306881
volume_zscore_20d,0.0022373516
low,0.0020766289
month_5,0.002051404
dry_days_7d,0.001964214
gdd,0.0018034915
ret_5d,0.0017554836
tavg,0.001650269
high,0.0015973271
tmin,0.001437726
dry_day,0.0014371596
volume,0.0013976643
ret_1d,0.0013422081
temp_range,0.0012331349
prcp,0.001206929
total_puts_oi,0.0011610931
tmax,0.001116851
open,0.0006115933
adj_close,0.0005300542
target_up_1d,0.00021029646
heat_stress,0.0
month_1,0.0
quarter,0.0
month_12,0.0
month_10,0.0
drought_indicator,0.0
extreme_heat,0.0
heat_stress_lag1,0.0
heat_stress_lag7,0.0
