feature,importance
target_up_3d,0.13680899
fwd_ret_3d,0.050710846
gdd_14d,0.013346659
is_flowering_season,0.012341515
is_harvest_season,0.011751452
ma_20,0.011612811
pct_very_poor,0.011400338
month_9,0.011023383
month_7,0.01078089
bb_lower,0.009884579
gdd_7d,0.009687696
close_vs_ma200,0.009343409
pct_blooming,0.009279714
ma_200,0.009266877
condition_index,0.009148023
ending_stocks_mbu,0.009097036
vol_20d,0.00899872
condition_index_change_4w,0.008361249
vol_20d_lag1,0.008303684
swap_net,0.008201586
vol_20d_lag5,0.008178993
dealer_puts_oi,0.008027899
condition_index_lag14,0.0077244146
pct_dropping_leaves,0.0075789024
pct_poor,0.00748868
dealer_net_position,0.007435045
bb_upper,0.0073180143
volume_ratio_60d,0.0072855866
is_planting_season,0.0071043754
stocks_to_exports_ratio,0.007092756
condition_index_lag1,0.007059821
close_lag10,0.00689718
pct_poor_very_poor,0.006783055
pct_planted,0.0067312284
week_of_year,0.0066518304
close_vs_ma50,0.006650778
vol_60d,0.0065868865
mm_net_position,0.0063806223
vol_20d_lag10,0.006361077
mm_net_lag14,0.0063191843
Swap_Dealer_Long_(All),0.0062938486
yield_estimate_bu_per_acre,0.0062935236
month_5,0.0062182466
mm_puts_oi,0.006207702
stocks_change_3m,0.006182569
production_mbu,0.006153398
ma_50,0.006058755
pct_good_excellent,0.006057255
volume_ratio_20d,0.0060176435
vol_zscore_60d,0.005982257
pct_good,0.005956872
condition_index_lag7,0.0059409584
bb_width,0.005910399
dealer_mm_net_diff,0.0058621736
gdd_30d,0.0058552832
month_8,0.0058393585
vol_zscore_20d,0.0058232276
vol_10d,0.0057683205
pct_harvested,0.005746889
condition_index_change_1w,0.005699444
total_oi,0.0056747533
close_lag20,0.0056519215
prod_net,0.005537923
yield_change_3m,0.005470067
mm_short_pct,0.005467866
exports_mbu,0.005437574
month_2,0.005433038
prod_long_pct,0.005414017
rsi_28,0.0052231983
prod_net_zscore,0.005142725
ret_20d,0.005096312
mm_net_zscore,0.0050761322
close_lag5,0.0050422153
fwd_ret_1d,0.005022264
prcp_30d_lag7,0.0049975333
stocks_change_1m,0.0049839215
month_4,0.004936442
pct_excellent,0.0049348418
Swap_Dealer_Short_(All),0.0048338785
mm_calls_oi,0.0048330133
day_of_year,0.0047779903
prod_short_pct,0.0047744894
put_call_ratio_52w_pct,0.004767359
other_net,0.004746478
Producer_Merchant_Processor_User_Long_(All),0.004737717
volume_60d_avg,0.0047234357
Other_Reportables_Long_(All),0.004693592
nonrep_net,0.004675679
mm_net_lag7,0.0046577896
pct_setting_pods,0.0045825206
growing_stress,0.0045715165
mm_net,0.0045519415
month_3,0.004547622
prcp_30d_lag1,0.0044916775
put_call_ratio,0.004457842
mm_long_pct,0.004453177
swap_net_position,0.0044265166
Nonreportable_Positions_Short_(All),0.004408819
put_call_ratio_52w_pct_lag7,0.0044059493
Other_Reportables_Short_(All),0.0044022417
month_6,0.00438494
mm_net_change_4w,0.0042531975
pct_emerged,0.0042001517
Money_Manager_Long_(All),0.0041584917
close_lag3,0.0041087302
production_change_1m,0.004076951
roc_20d,0.004069711
ret_20d_trailing,0.003941719
ret_60d_trailing,0.0039197314
volume_20d_avg,0.00388553
Money_Manager_Short_(All),0.0038734938
gdd,0.0038690264
pct_fair,0.0038262068
total_calls_oi,0.003823941
put_call_ratio_52w_pct_lag14,0.0037593292
dry_days_30d,0.0037574174
close_vs_ma20,0.0037384073
total_puts_oi,0.0037284733
speculator_net_combined,0.0037206989
close_lag1,0.0037133913
Producer_Merchant_Processor_User_Short_(All),0.0036811128
yield_change_1m,0.0036781938
Open_Interest_(All),0.0035700928
mm_net_change_1w,0.003558519
Nonreportable_Positions_Long_(All),0.003433026
gdd_cumulative,0.0033256442
close,0.003252234
vol_5d,0.003215064
dry_days_14d,0.0032020062
ret_10d_trailing,0.0031371221
prcp_30d,0.0030176863
mm_net_index,0.0029956992
tavg,0.002922477
roc_5d,0.0028965385
temp_range_7d_avg,0.0028655159
ret_5d_trailing,0.002856475
rsi_14,0.0027989172
month,0.0027543171
sentiment_extreme,0.0027410178
volume_zscore_20d,0.0027369447
bb_position,0.0026642065
ret_3d_trailing,0.00265537
month_10,0.0025932754
dealer_calls_oi,0.0025341478
dry_days_7d,0.0022681775
prcp_7d,0.0022522109
ret_5d,0.0018984036
tmax,0.0016350586
low,0.0015793382
ret_1d,0.0014598166
adj_close,0.0014414906
volume,0.0014118362
tmin,0.001317199
temp_range,0.0012855231
target_up_1d,0.0012506478
high,0.0012317266
prcp,0.0010530229
open,0.00090579625
dry_day,0.00017672275
heat_stress,0.0
month_1,0.0
quarter,0.0
month_12,0.0
month_11,0.0
drought_indicator,0.0
extreme_heat,0.0
heat_stress_lag1,0.0
heat_stress_lag7,0.0
